spot_at_expiry_rn,strategy_pnl_rn,spot_at_expiry_rw,strategy_pnl_rw
658.0291596637239,-1284.0,744.7937361489152,95.37361489151726
699.5596140990192,-1284.0,697.9331605295251,-1284.0
693.4535568680058,-1284.0,722.0814024507115,-1284.0
738.9553501256563,-488.46498743436905,794.7426573334121,1616.0
759.9598256607113,1611.9825660711317,709.0541361786952,-1284.0
824.7120023032188,1616.0,773.8444574568111,1616.0
660.465959514717,-1284.0,833.6913812548039,1615.999999999999
794.9847024874201,1616.0000000000005,806.5042093600063,1616.0
720.5880841661336,-1284.0,750.8714030229149,703.1403022914933
752.2767624230456,843.6762423045625,780.8589709259127,1616.0
724.3214265592329,-1284.0,708.3157099086831,-1284.0
704.8716336430053,-1284.0,717.6421317376081,-1284.0
683.8837249432618,-1284.0,785.2105889679515,1616.0
744.3679845604632,52.79845604632419,707.5305116402719,-1284.0
707.7157366078897,-1284.0,815.4316555751534,1616.0
759.3091436493216,1546.914364932164,743.8338430609973,-0.6156939002689796
744.651150893547,81.11508935469692,691.4374169575377,-1284.0
750.602957046368,676.2957046368033,784.20544389402,1615.9999999999995
738.7575218891272,-508.2478110872753,766.5781612193814,1616.0
670.3097168749124,-1284.0,770.0782490141897,1616.0
705.4693649412076,-1284.0,785.083693764236,1616.0000000000005
800.0007959615066,1616.0,706.5072848035941,-1284.0
704.338587674213,-1284.0,732.9301182882595,-1090.988171174055
702.0963745018225,-1284.0,785.8224419037235,1616.0
667.3108989684539,-1284.0,755.743243256379,1190.3243256378946
692.2025255232141,-1284.0,762.6894837424887,1616.0
725.6665188287323,-1284.0,781.7537030676824,1616.0
694.8166078192038,-1284.0,692.193785155262,-1284.0
763.7439637812048,1616.0,750.5330576567703,669.3057656770325
755.2140901518915,1137.4090151891469,765.8621147351748,1616.0
712.2308011805394,-1284.0,769.3796431446094,1616.0
763.6250772071606,1616.0,704.8076338383654,-1284.0
756.0920837701603,1225.2083770160343,802.0820735111586,1616.0
738.4544166179705,-538.5583382029463,823.2286650768517,1616.000000000001
735.3550589451578,-848.4941054842207,732.8688011584298,-1097.1198841570153
688.6373900158966,-1284.0,768.3526693155652,1616.0
676.3956613123236,-1284.0,770.4364868938043,1616.0
672.383810821592,-1284.0,695.7741835823514,-1284.0
779.7099182953121,1615.9999999999995,804.9358347508462,1616.0
769.5745436964152,1616.0,777.951630470062,1615.9999999999995
751.6182237094936,777.8223709493577,701.8818295453825,-1284.0
693.7408317518192,-1284.0,789.1897257278711,1616.0
730.006699901444,-1284.0,805.0250538828873,1616.0
718.5917154161833,-1284.0,745.5599318863559,171.9931886355912
716.2875912251599,-1284.0,830.834061351227,1616.0
707.6850774336707,-1284.0,718.1635009326183,-1284.0
695.6643726802268,-1284.0,727.6811334595926,-1284.0
679.9774758505513,-1284.0,750.8289119772469,698.8911977246889
726.8971439670853,-1284.0,784.2360233332909,1616.0
737.9651081654923,-587.4891834507675,684.6203462204146,-1284.0
772.6879386109447,1616.0,773.6111482109662,1616.0000000000005
770.2185926328688,1616.0,804.3920109174568,1616.0
739.7892792274173,-405.0720772582704,741.3900706349751,-244.99293650248683
707.7171042969394,-1284.0,705.2323717848224,-1284.0
691.2920298511507,-1284.0,761.9153479711131,1616.0
742.9021243160854,-93.78756839145944,748.7090046567068,486.90046567068384
716.8215196808179,-1284.0,765.8209744694127,1616.0
783.6165392845736,1616.0000000000005,712.7697470125025,-1284.0
726.3307355711879,-1284.0,790.7196616597214,1616.0
704.8210883201936,-1284.0,748.0454388719688,420.5438871968827
752.9570788429351,911.7078842935061,751.5364651867749,769.6465186774876
827.6664655449136,1616.0,699.7750934025686,-1284.0
732.672064005965,-1116.7935994034988,793.6748563554855,1616.0000000000005
666.723769636093,-1284.0,805.8346632470888,1616.0
737.0205668163057,-681.9433183694255,763.4937157699121,1616.0
677.2550914073616,-1284.0,793.0487680080261,1615.9999999999995
803.8009505626669,1616.0,732.2212266046034,-1161.877339539657
696.8314440531153,-1284.0,762.911268122319,1616.0
784.542290993434,1616.0000000000005,748.5247265363907,468.47265363907445
684.587549920687,-1284.0,714.0603263630575,-1284.0
716.0623049024753,-1284.0,822.1535276527987,1616.0
669.597964262739,-1284.0,758.8391519269501,1499.915192695008
811.9196543493533,1616.0,744.3338954372018,49.38954372018179
766.0539017671343,1616.0,802.9350951953433,1616.0
687.7037361414245,-1284.0,701.7514194717917,-1284.0
727.5768608688901,-1284.0,779.6471550394812,1616.0000000000005
713.925618167826,-1284.0,767.9302187378557,1616.0
735.1063018407341,-873.369815926591,748.8738581289438,503.3858128943766
734.6436694215405,-919.6330578459506,786.1140342655118,1615.9999999999995
706.3070960492148,-1284.0,740.820620694293,-301.9379305707016
739.5075527326275,-433.24472673725404,748.3545882543932,451.45882543932066
731.7903068680239,-1204.969313197611,762.3862526840039,1616.0
759.160066043619,1532.0066043619054,835.2833000171702,1616.000000000001
810.3023952368125,1616.0,728.1975115458769,-1284.0
672.1311906135574,-1284.0,738.4020681474638,-543.7931852536249
799.7574981195678,1616.0,722.4901074230576,-1284.0
