contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiry
SPY260529C00646000,2026-04-30 18:47:12+00:00,646.0,76.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00647000,2026-05-01 14:19:25+00:00,647.0,80.29,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00648000,2026-05-08 19:57:12+00:00,648.0,91.16,0.0,0.0,0.0,0.0,3.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00649000,2026-05-07 13:40:09+00:00,649.0,87.73,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00650000,2026-05-12 17:00:02+00:00,650.0,83.94,0.0,0.0,0.0,0.0,30.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00651000,2026-04-29 19:10:56+00:00,651.0,63.74,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00652000,2026-05-11 15:25:09+00:00,652.0,89.58,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00653000,2026-05-11 13:30:14+00:00,653.0,85.69,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00654000,2026-05-11 17:24:58+00:00,654.0,87.41,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00655000,2026-05-12 20:14:04+00:00,655.0,84.02,0.0,0.0,0.0,0.0,8.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00656000,2026-05-11 14:33:24+00:00,656.0,83.74,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00657000,2026-05-12 20:14:04+00:00,657.0,81.99,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00658000,2026-05-07 18:04:36+00:00,658.0,77.42,0.0,0.0,0.0,0.0,11.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00659000,2026-04-30 19:18:09+00:00,659.0,63.88,0.0,0.0,0.0,0.0,3.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00660000,2026-05-12 19:06:15+00:00,660.0,77.98,0.0,0.0,0.0,0.0,23.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00661000,2026-05-08 14:39:11+00:00,661.0,76.41,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00662000,2026-05-07 17:17:44+00:00,662.0,72.1,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00663000,2026-05-12 17:37:29+00:00,663.0,73.35,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00664000,2026-05-12 13:44:27+00:00,664.0,74.5,0.0,0.0,0.0,0.0,5.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00665000,2026-05-12 16:26:07+00:00,665.0,69.9,0.0,0.0,0.0,0.0,12.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00666000,2026-05-12 16:47:43+00:00,666.0,68.26,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00667000,2026-05-12 14:50:18+00:00,667.0,69.06,0.0,0.0,0.0,0.0,7.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00668000,2026-05-12 16:47:54+00:00,668.0,66.11,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00669000,2026-05-12 19:22:27+00:00,669.0,69.57,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00670000,2026-05-12 19:22:04+00:00,670.0,68.8,0.0,0.0,0.0,0.0,419.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00671000,2026-05-12 15:09:49+00:00,671.0,65.01,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00672000,2026-05-12 17:33:36+00:00,672.0,64.52,0.0,0.0,0.0,0.0,4.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00673000,2026-05-12 13:49:35+00:00,673.0,65.21,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00674000,2026-05-12 13:35:45+00:00,674.0,64.11,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00675000,2026-05-12 17:40:31+00:00,675.0,62.25,0.0,0.0,0.0,0.0,7.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00676000,2026-05-11 18:03:19+00:00,676.0,66.54,0.0,0.0,0.0,0.0,10.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00677000,2026-05-08 19:48:03+00:00,677.0,62.75,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00678000,2026-05-12 18:34:28+00:00,678.0,60.42,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00679000,2026-05-12 14:30:19+00:00,679.0,58.24,0.0,0.0,0.0,0.0,38.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00680000,2026-05-12 18:51:44+00:00,680.0,58.2,0.0,0.0,0.0,0.0,44.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00681000,2026-05-08 19:47:57+00:00,681.0,58.87,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00682000,2026-05-11 17:25:49+00:00,682.0,59.71,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00683000,2026-05-12 14:07:53+00:00,683.0,54.91,0.0,0.0,0.0,0.0,10.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00684000,2026-05-08 19:16:52+00:00,684.0,55.68,0.0,0.0,0.0,0.0,4.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00685000,2026-05-12 19:14:37+00:00,685.0,54.47,0.0,0.0,0.0,0.0,27.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00686000,2026-05-12 19:15:26+00:00,686.0,53.31,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00687000,2026-05-12 19:59:07+00:00,687.0,53.5,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00688000,2026-05-12 19:59:07+00:00,688.0,52.54,0.0,0.0,0.0,0.0,8.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00689000,2026-05-12 15:36:39+00:00,689.0,46.11,0.0,0.0,0.0,0.0,54.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00690000,2026-05-12 19:45:18+00:00,690.0,50.15,0.0,0.0,0.0,0.0,18.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00691000,2026-05-12 19:38:19+00:00,691.0,49.45,0.0,0.0,0.0,0.0,6.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00692000,2026-05-12 16:48:14+00:00,692.0,42.98,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00693000,2026-05-12 15:41:11+00:00,693.0,43.27,0.0,0.0,0.0,0.0,9.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00694000,2026-05-12 20:01:10+00:00,694.0,46.25,0.0,0.0,0.0,0.0,17.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00695000,2026-05-12 19:05:20+00:00,695.0,43.93,0.0,0.0,0.0,0.0,48.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00696000,2026-05-12 17:12:09+00:00,696.0,40.5,0.0,0.0,0.0,0.0,9.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00697000,2026-05-12 19:18:40+00:00,697.0,42.88,0.0,0.0,0.0,0.0,21.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00698000,2026-05-12 17:47:43+00:00,698.0,39.92,0.0,0.0,0.0,0.0,6.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00699000,2026-05-12 19:03:20+00:00,699.0,40.3,0.0,0.0,0.0,0.0,6.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00700000,2026-05-12 20:14:04+00:00,700.0,40.34,0.0,0.0,0.0,0.0,560.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00701000,2026-05-12 17:47:43+00:00,701.0,37.15,0.0,0.0,0.0,0.0,30.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00702000,2026-05-12 20:14:04+00:00,702.0,38.46,0.0,0.0,0.0,0.0,19.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00703000,2026-05-12 19:22:36+00:00,703.0,36.96,0.0,0.0,0.0,0.0,24.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00704000,2026-05-12 17:24:07+00:00,704.0,34.52,0.0,0.0,0.0,0.0,29.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00705000,2026-05-12 19:53:05+00:00,705.0,36.86,0.0,0.0,0.0,0.0,134.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00706000,2026-05-12 19:25:35+00:00,706.0,34.31,0.0,0.0,0.0,0.0,39.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00707000,2026-05-12 19:46:22+00:00,707.0,33.65,0.0,0.0,0.0,0.0,6.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00708000,2026-05-12 19:36:45+00:00,708.0,33.4,0.0,0.0,0.0,0.0,111.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
SPY260529C00709000,2026-05-12 17:06:37+00:00,709.0,28.46,0.0,0.0,0.0,0.0,9.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call,2026-05-29
