Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2023-08-28,442.239990234375,443.3999938964844,439.9700012207031,442.760009765625,427.6532897949219,61595400,0.0,0.0,0.0
2023-08-29,442.6499938964844,449.45001220703125,442.4599914550781,449.1600036621094,433.83489990234375,83081900,0.0,0.0,0.0
2023-08-30,449.510009765625,451.6700134277344,448.7799987792969,451.010009765625,435.6217956542969,69053900,0.0,0.0,0.0
2023-08-31,451.6499938964844,452.8299865722656,450.1600036621094,450.3500061035156,434.98431396484375,66084600,0.0,0.0,0.0
2023-09-01,453.1700134277344,453.6700134277344,449.67999267578125,451.19000244140625,435.795654296875,58944100,0.0,0.0,0.0
2023-09-05,450.7300109863281,451.05999755859375,449.1700134277344,449.239990234375,433.91217041015625,55166200,0.0,0.0,0.0
2023-09-06,448.3999938964844,448.510009765625,443.80999755859375,446.2200012207031,430.9952697753906,70758500,0.0,0.0,0.0
2023-09-07,443.1099853515625,445.54998779296875,442.75,444.8500061035156,429.6719665527344,70355400,0.0,0.0,0.0
2023-09-08,444.8999938964844,447.1099853515625,444.5299987792969,445.5199890136719,430.31903076171875,61659700,0.0,0.0,0.0
2023-09-11,448.239990234375,448.7699890136719,446.4700012207031,448.45001220703125,433.149169921875,60180100,0.0,0.0,0.0
2023-09-12,446.95001220703125,448.5299987792969,445.3900146484375,445.989990234375,430.7730712890625,67565400,0.0,0.0,0.0
2023-09-13,446.2200012207031,447.7099914550781,445.0799865722656,446.510009765625,431.27532958984375,60199300,0.0,0.0,0.0
2023-09-14,449.07000732421875,451.0799865722656,447.7200012207031,450.3599853515625,434.9939270019531,83430800,0.0,0.0,0.0
2023-09-15,447.1400146484375,447.4800109863281,442.9200134277344,443.3699951171875,429.75299072265625,111848900,1.583,0.0,0.0
2023-09-18,443.04998779296875,444.9700012207031,442.55999755859375,443.6300048828125,430.0049743652344,55752200,0.0,0.0,0.0
2023-09-19,442.67999267578125,443.2900085449219,439.94000244140625,442.7099914550781,429.11328125,66514600,0.0,0.0,0.0
2023-09-20,444.010009765625,444.44000244140625,438.42999267578125,438.6400146484375,425.16827392578125,82562600,0.0,0.0,0.0
2023-09-21,435.70001220703125,435.9700012207031,431.2300109863281,431.3900146484375,418.1409606933594,104095800,0.0,0.0,0.0
2023-09-22,432.45001220703125,434.1000061035156,429.989990234375,430.4200134277344,417.2007751464844,100829700,0.0,0.0,0.0
2023-09-25,429.1700134277344,432.2699890136719,428.7200012207031,432.2300109863281,418.9551086425781,70874500,0.0,0.0,0.0
2023-09-26,429.0899963378906,429.82000732421875,425.0199890136719,425.8800048828125,412.8002014160156,96168400,0.0,0.0,0.0
2023-09-27,427.0899963378906,427.6700134277344,422.2900085449219,426.04998779296875,412.9649658203125,104705800,0.0,0.0,0.0
2023-09-28,425.4800109863281,430.25,424.8699951171875,428.5199890136719,415.35906982421875,92258300,0.0,0.0,0.0
2023-09-29,431.6700134277344,431.8500061035156,425.9100036621094,427.4800109863281,414.3510437011719,115111300,0.0,0.0,0.0
2023-10-02,426.6199951171875,428.6000061035156,424.4599914550781,427.30999755859375,414.186279296875,83798600,0.0,0.0,0.0
2023-10-03,425.05999755859375,427.3699951171875,420.17999267578125,421.5899963378906,408.64190673828125,103760600,0.0,0.0,0.0
2023-10-04,422.07000732421875,425.42999267578125,420.55999755859375,424.6600036621094,411.61767578125,87453000,0.0,0.0,0.0
2023-10-05,424.3599853515625,425.3699951171875,421.1700134277344,424.5,411.4626159667969,70142700,0.0,0.0,0.0
2023-10-06,421.9700012207031,431.1300048828125,420.6000061035156,429.5400085449219,416.3477783203125,113273300,0.0,0.0,0.0
2023-10-09,427.5799865722656,432.8800048828125,427.010009765625,432.2900085449219,419.0133056640625,80374400,0.0,0.0,0.0
2023-10-10,432.94000244140625,437.2200012207031,432.5299987792969,434.5400085449219,421.1941833496094,78607300,0.0,0.0,0.0
2023-10-11,435.6400146484375,436.5799865722656,433.17999267578125,436.32000732421875,422.9195251464844,62451700,0.0,0.0,0.0
2023-10-12,436.95001220703125,437.3399963378906,431.2300109863281,433.6600036621094,420.3411865234375,81154200,0.0,0.0,0.0
2023-10-13,435.2099914550781,436.45001220703125,429.8800048828125,431.5,418.24755859375,95143100,0.0,0.0,0.0
2023-10-16,433.82000732421875,437.1400146484375,433.57000732421875,436.0400085449219,422.6481628417969,75433200,0.0,0.0,0.0
2023-10-17,432.80999755859375,438.1400146484375,432.45001220703125,436.0199890136719,422.6287536621094,75324700,0.0,0.0,0.0
2023-10-18,434.19000244140625,435.17999267578125,429.0899963378906,430.2099914550781,416.99713134765625,93559800,0.0,0.0,0.0
2023-10-19,430.95001220703125,432.82000732421875,425.7300109863281,426.42999267578125,413.3332824707031,121323000,0.0,0.0,0.0
2023-10-20,425.9800109863281,426.5400085449219,421.0799865722656,421.19000244140625,408.25421142578125,123919900,0.0,0.0,0.0
2023-10-23,419.6099853515625,424.45001220703125,417.79998779296875,420.4599914550781,407.546630859375,92035100,0.0,0.0,0.0
2023-10-24,422.6499938964844,424.82000732421875,420.739990234375,423.6300048828125,410.6192626953125,78564200,0.0,0.0,0.0
2023-10-25,421.8900146484375,421.9200134277344,417.0199890136719,417.54998779296875,404.7259826660156,94223200,0.0,0.0,0.0
2023-10-26,416.45001220703125,417.3299865722656,411.6000061035156,412.54998779296875,399.8796081542969,115156800,0.0,0.0,0.0
2023-10-27,414.19000244140625,414.6000061035156,409.2099914550781,410.67999267578125,398.06695556640625,107367700,0.0,0.0,0.0
2023-10-30,413.55999755859375,416.67999267578125,412.2200012207031,415.5899963378906,402.82623291015625,86562700,0.0,0.0,0.0
2023-10-31,416.17999267578125,418.5299987792969,414.2099914550781,418.20001220703125,405.3560485839844,79665200,0.0,0.0,0.0
2023-11-01,419.20001220703125,423.5,418.6499938964844,422.6600036621094,409.6790771484375,98068100,0.0,0.0,0.0
2023-11-02,426.5799865722656,430.9200134277344,426.55999755859375,430.760009765625,417.53033447265625,94938900,0.0,0.0,0.0
2023-11-03,433.1400146484375,436.2900085449219,433.010009765625,434.69000244140625,421.339599609375,100167800,0.0,0.0,0.0
2023-11-06,435.4700012207031,436.1499938964844,433.67999267578125,435.69000244140625,422.3088684082031,67831700,0.0,0.0,0.0
2023-11-07,435.69000244140625,437.5899963378906,434.510009765625,436.92999267578125,423.5107727050781,64256100,0.0,0.0,0.0
2023-11-08,437.54998779296875,438.0899963378906,434.8699951171875,437.25,423.8209228515625,61746000,0.0,0.0,0.0
2023-11-09,438.42999267578125,438.4700012207031,433.3999938964844,433.8399963378906,420.5157165527344,83174400,0.0,0.0,0.0
2023-11-10,435.9800109863281,440.92999267578125,433.8299865722656,440.6099853515625,427.0777282714844,89462200,0.0,0.0,0.0
2023-11-13,439.2300109863281,441.3299865722656,438.4200134277344,440.19000244140625,426.67071533203125,52236100,0.0,0.0,0.0
2023-11-14,446.32000732421875,450.05999755859375,446.0899963378906,448.7300109863281,434.94842529296875,97176900,0.0,0.0,0.0
2023-11-15,450.1099853515625,451.3800048828125,448.79998779296875,449.67999267578125,435.86920166015625,77327600,0.0,0.0,0.0
2023-11-16,449.2200012207031,450.55999755859375,448.1199951171875,450.2300109863281,436.4023132324219,66665800,0.0,0.0,0.0
2023-11-17,450.239990234375,451.4200134277344,449.2900085449219,450.7900085449219,436.9451599121094,83133200,0.0,0.0,0.0
2023-11-20,450.5299987792969,455.1300048828125,450.5199890136719,454.260009765625,440.3085632324219,69936200,0.0,0.0,0.0
2023-11-21,453.17999267578125,454.1300048828125,451.9599914550781,453.2699890136719,439.34893798828125,49244600,0.0,0.0,0.0
2023-11-22,454.9800109863281,456.3800048828125,453.8900146484375,455.0199890136719,441.0451965332031,59394900,0.0,0.0,0.0
2023-11-24,455.07000732421875,455.5,454.7300109863281,455.29998779296875,441.3165588378906,29737400,0.0,0.0,0.0
2023-11-27,454.6499938964844,455.489990234375,454.0799865722656,454.4800109863281,440.5218200683594,50506000,0.0,0.0,0.0
2023-11-28,454.0799865722656,456.2699890136719,453.5,454.92999267578125,440.9579772949219,62115000,0.0,0.0,0.0
2023-11-29,457.1499938964844,458.32000732421875,454.20001220703125,454.6099853515625,440.6478271484375,63146000,0.0,0.0,0.0
2023-11-30,455.4800109863281,456.760009765625,453.3399963378906,456.3999938964844,442.3828125,79752700,0.0,0.0,0.0
2023-12-01,455.7699890136719,459.6499938964844,455.1600036621094,459.1000061035156,444.9999084472656,89183400,0.0,0.0,0.0
2023-12-04,455.6000061035156,459.1199951171875,454.3399963378906,456.69000244140625,442.6639404296875,72430900,0.0,0.0,0.0
2023-12-05,455.260009765625,457.5899963378906,454.8699951171875,456.6000061035156,442.57666015625,69793500,0.0,0.0,0.0
2023-12-06,458.80999755859375,458.8399963378906,454.30999755859375,454.760009765625,440.793212890625,69124700,0.0,0.0,0.0
2023-12-07,456.9100036621094,458.8999938964844,456.2900085449219,458.2300109863281,444.1566162109375,66995400,0.0,0.0,0.0
2023-12-08,457.4599914550781,460.75,457.2099914550781,460.20001220703125,446.066162109375,83194400,0.0,0.0,0.0
2023-12-11,459.69000244140625,462.1700134277344,459.4700012207031,461.989990234375,447.8011169433594,65002200,0.0,0.0,0.0
2023-12-12,461.6300048828125,464.20001220703125,460.6000061035156,464.1000061035156,449.84637451171875,68327600,0.0,0.0,0.0
2023-12-13,464.489990234375,470.760009765625,464.1199951171875,470.5,456.0497741699219,93278000,0.0,0.0,0.0
2023-12-14,472.5,473.7300109863281,469.25,472.010009765625,457.51336669921875,119026000,0.0,0.0,0.0
2023-12-15,469.489990234375,470.70001220703125,467.42999267578125,469.3299865722656,456.7601013183594,141553700,1.906,0.0,0.0
2023-12-18,470.9800109863281,472.9800109863281,469.8900146484375,471.9700012207031,459.3294372558594,70375300,0.0,0.0,0.0
2023-12-19,472.5299987792969,474.9200134277344,472.45001220703125,474.8399963378906,462.12255859375,55761800,0.0,0.0,0.0
2023-12-20,473.9599914550781,475.8999938964844,467.82000732421875,468.260009765625,455.71875,102921000,0.0,0.0,0.0
2023-12-21,471.3299865722656,472.9800109863281,468.8399963378906,472.70001220703125,460.03985595703125,86667500,0.0,0.0,0.0
2023-12-22,473.8599853515625,475.3800048828125,471.70001220703125,473.6499938964844,460.96441650390625,67160400,0.0,0.0,0.0
2023-12-26,474.07000732421875,476.5799865722656,473.989990234375,475.6499938964844,462.9109191894531,55387000,0.0,0.0,0.0
2023-12-27,475.44000244140625,476.6600036621094,474.8900146484375,476.510009765625,463.7477722167969,68000300,0.0,0.0,0.0
2023-12-28,476.8800048828125,477.54998779296875,476.260009765625,476.69000244140625,463.9230041503906,77158100,0.0,0.0,0.0
2023-12-29,476.489990234375,477.0299987792969,473.29998779296875,475.30999755859375,462.5799865722656,122283100,0.0,0.0,0.0
2024-01-02,472.1600036621094,473.6700134277344,470.489990234375,472.6499938964844,459.9912414550781,123623700,0.0,0.0,0.0
2024-01-03,470.42999267578125,471.19000244140625,468.1700134277344,468.7900085449219,456.234619140625,103585900,0.0,0.0,0.0
2024-01-04,468.29998779296875,470.9599914550781,467.04998779296875,467.2799987792969,454.7650451660156,84232200,0.0,0.0,0.0
2024-01-05,467.489990234375,470.44000244140625,466.42999267578125,467.9200134277344,455.3879089355469,86118900,0.0,0.0,0.0
2024-01-08,468.42999267578125,474.75,468.29998779296875,474.6000061035156,461.8890075683594,74879100,0.0,0.0,0.0
2024-01-09,471.8699951171875,474.92999267578125,471.3500061035156,473.8800048828125,461.1882629394531,65931400,0.0,0.0,0.0
2024-01-10,474.1600036621094,477.45001220703125,473.8699951171875,476.55999755859375,463.7965087890625,67310600,0.0,0.0,0.0
2024-01-11,477.5899963378906,478.1199951171875,472.260009765625,476.3500061035156,463.5921325683594,77940700,0.0,0.0,0.0
2024-01-12,477.8399963378906,478.6000061035156,475.2300109863281,476.67999267578125,463.91326904296875,58026400,0.0,0.0,0.0
2024-01-16,475.260009765625,476.6099853515625,473.05999755859375,474.92999267578125,462.21014404296875,85014900,0.0,0.0,0.0
2024-01-17,471.82000732421875,472.7900085449219,469.8699951171875,472.2900085449219,459.640869140625,68843900,0.0,0.0,0.0
2024-01-18,474.010009765625,477.05999755859375,472.4200134277344,476.489990234375,463.7283020019531,91856200,0.0,0.0,0.0
2024-01-19,477.6499938964844,482.7200012207031,476.5400085449219,482.42999267578125,469.50921630859375,110834500,0.0,0.0,0.0
2024-01-22,484.010009765625,485.2200012207031,482.7799987792969,483.45001220703125,470.5019836425781,75844900,0.0,0.0,0.0
2024-01-23,484.010009765625,485.1099853515625,482.8900146484375,484.8599853515625,471.8742370605469,49945300,0.0,0.0,0.0
2024-01-24,487.80999755859375,488.7699890136719,484.8800048828125,485.3900146484375,472.3900451660156,81765000,0.0,0.0,0.0
2024-01-25,487.5799865722656,488.30999755859375,485.3900146484375,488.0299987792969,474.9593200683594,72525000,0.0,0.0,0.0
