Date,spot,position_open,mtm,cash,equity,rv20,delta_exposure,gamma_exposure,vega_exposure,theta_exposure
2024-10-29,581.77001953125,True,119.9757313631224,99981.99922092806,100101.97495229119,0.08782689812102876,-7.021450665764107,-3.5179561771542676,-81.44339814912883,15.499969734235176
2024-10-30,580.010009765625,True,136.87051036703792,99981.99922092806,100118.8697312951,0.08904901764225973,-0.5785252279247977,-3.4972342838353216,-78.37474315889364,15.299331053448467
2024-10-31,568.6400146484375,True,-245.9778893045879,99981.99922092806,99736.02133162347,0.11546573027098214,35.053458542654695,-2.98573358439898,-78.93843387526822,18.226867628672522
2024-11-01,571.0399780273438,True,-125.92999883342699,99981.99922092806,99856.06922209464,0.11169580322987471,28.621566743332277,-3.1367902653462068,-77.87855012164768,18.64515899637039
2024-11-04,569.8099975585938,True,-69.58658499748012,99981.99922092806,99912.41263593058,0.10697238554235886,34.54758457604716,-3.185556563514094,-65.72634255528638,16.8836468600814
2024-11-05,576.7000122070312,True,63.86491750688066,99981.99922092806,100045.86413843495,0.1103050248295283,11.801607172634826,-3.38300055387391,-70.47793695760186,21.592937605039115
2024-11-06,591.0399780273438,True,-368.9792712784538,99981.99922092806,99613.0199496496,0.13851302390248793,-34.003136779791596,-2.901123528074192,-77.26949135732444,35.34981283715692
2024-11-07,595.6099853515625,True,-545.8029098375256,99981.99922092806,99436.19631109053,0.13990835731730183,-46.67565673682918,-2.6732367834139654,-69.60628500283403,35.246745263404954
2024-11-08,598.1900024414062,True,-645.5465392376495,99981.99922092806,99336.45268169041,0.13935656289531445,-53.84350270789372,-2.542685002367989,-62.948099205438126,34.49926569088518
2024-11-11,598.760009765625,True,-563.4885398876659,99981.99922092806,99418.5106810404,0.1371844394994742,-57.58647891780293,-2.651867465757927,-52.65360600910982,35.20270917272289
2024-11-12,596.9000244140625,True,-402.1693145175302,99981.99922092806,99579.82990641054,0.13406948432773277,-53.71786507737964,-2.901974294000824,-51.37858081961178,35.828515712960815
2024-11-13,597.1900024414062,True,-381.3597005378238,99981.99922092806,99600.63952039024,0.133667851892796,-55.23930364658606,-2.950997336287094,-47.80063137600218,36.32038065208112
2024-11-14,593.3499755859375,True,-157.1668382092941,99981.99922092806,99824.83238271877,0.1364166702224673,-43.64382857319588,-3.304877514966706,-48.5158988532074,39.76347276342805
2024-11-15,585.75,True,97.64784077274271,99981.99922092806,100079.6470617008,0.1443876143434679,-17.21403055950382,-3.5464407084649063,-47.67453859033345,43.277231962762464
2024-11-18,588.1500244140625,True,172.08407859172326,99981.99922092806,100154.08329951979,0.14490289140227414,-24.808950582832306,-3.7573644166691076,-33.904327397141444,46.55131828201255
2024-11-19,590.2999877929688,True,151.599841728326,99981.99922092806,100133.59906265639,0.1453111388323795,-32.45348966259892,-3.9412242631555383,-29.91036701466444,49.7483848015398
2024-11-20,590.5,True,208.33596712629898,99981.99922092806,100190.33518805436,0.14067352221350377,-31.95743395899336,-4.233185939342059,-24.68930175643819,49.25541651125505
2024-11-21,593.6699829101562,True,131.39951584009407,99981.99922092806,100113.39873676815,0.1414562163240539,-45.25309494044056,-4.868493774020866,-21.845170971213825,59.3528734185867
2024-11-22,595.510009765625,False,0.0,100076.75639170628,100076.75639170628,0.14147501702478352,0.0,0.0,0.0,0.0
2024-11-25,597.530029296875,False,0.0,100076.75639170628,100076.75639170628,0.14152633407063644,0.0,0.0,0.0,0.0
2024-11-26,600.6500244140625,False,0.0,100076.75639170628,100076.75639170628,0.14216608277091153,0.0,0.0,0.0,0.0
2024-11-27,598.8300170898438,False,0.0,100076.75639170628,100076.75639170628,0.1421681600647934,0.0,0.0,0.0,0.0
2024-11-29,602.5499877929688,True,0.0,100076.75639170628,100076.75639170628,0.1182081981078989,0.0,0.0,0.0,0.0
2024-12-02,603.6300048828125,True,63.16934196030104,100076.75639170628,100139.92573366658,0.11816320973566836,-0.1405826910807706,-2.6436693237904554,-92.0595038230147,22.038272190353876
2024-12-03,603.9099731445312,True,94.99047895570953,100076.75639170628,100171.74687066198,0.11707396779948867,-0.5916629163220499,-2.664867316772664,-88.63666560339969,21.872255996135237
2024-12-04,607.6599731445312,True,124.91338384204909,100076.75639170628,100201.66977554833,0.11280666198732994,-10.361214056171352,-2.7131328298692754,-84.84053184722487,21.683843911599926
2024-12-05,606.6599731445312,False,0.0,100481.76570845852,100481.76570845852,0.0782455727093105,0.0,0.0,0.0,0.0
2024-12-06,607.8099975585938,True,0.0,100481.76570845852,100481.76570845852,0.07457652974771324,0.0,0.0,0.0,0.0
2024-12-09,604.6799926757812,True,32.803056089468896,100481.76570845852,100514.56876454799,0.07656911405881585,13.112875176358513,-3.804695087586543,-89.48776852993046,13.541616092997891
2024-12-10,602.7999877929688,True,20.341180132393077,100481.76570845852,100502.10688859092,0.07763142593230003,20.675976671277414,-3.754009042343724,-84.38373403171863,12.723446976044336
2024-12-11,607.4600219726562,True,68.34125869762033,100481.76570845852,100550.10696715614,0.08068988184966563,3.0213853941361446,-3.8943103940420762,-86.61556320102517,15.051935158733077
2024-12-12,604.3300170898438,True,38.483617869239595,100481.76570845852,100520.24932632776,0.08349820799015106,15.325196005477082,-3.799345226121329,-82.8497503161532,14.6626084998614
2024-12-13,604.2100219726562,True,81.86828165218927,100481.76570845852,100563.63399011071,0.07934767303351313,16.458600800273622,-3.8326401139850392,-76.8116136881816,13.467635020395473
2024-12-16,606.7899780273438,True,147.5405541088321,100481.76570845852,100629.30626256735,0.06103260529034443,7.495292218940958,-3.9204616426130503,-69.10512187142932,14.623302245615259
2024-12-17,604.2899780273438,True,137.39574262070988,100481.76570845852,100619.16145107923,0.0637897613259391,17.58404609256511,-3.841222951338421,-63.878293885187475,13.564230443938843
